id,timestamp,pageType,ttfb,lcp,inp,userAgent,connectionType,deviceMemory
075665c7-4878-437b-adfe-1b183af41e1f,undefined,"SSR",26,125,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
cb8c45c3-4da0-4141-a1f1-d8e92d6e98c4,undefined,"SSR",70,247,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
8b89b530-6164-4d42-8b48-06b9ceb6d558,undefined,"SSR",84,4418,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
4a0ce3d4-31ac-4e26-9dda-15dd6ef7c6cc,undefined,"SSR",81,3629,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
e410a58a-b02a-4b66-a81c-8de7f21f69e9,undefined,"SSR",81,236,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
0c0d9fe7-8996-4d83-9a45-e6358bceb41f,undefined,"SSR",99,286,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
4270ef39-a7ec-4486-86d2-69d27831b968,undefined,"SSR",84,241,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
188eaa7c-bd25-4234-a252-258420d72b52,undefined,"SSR",81,6036,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
a2b799b3-43c1-4a78-9c43-a8236028d261,undefined,"SSR",77,4130,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
99ec0e31-7007-442f-bdab-ea4a7ef5197b,undefined,"SSR",73,3889,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
faddee25-b231-4db8-a4f4-afcd7e50cea7,undefined,"SSR",80,6957,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
1c5ea187-8dcf-41ef-a15a-7a6ceeb7dba5,undefined,"SSR",77,3882,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
b8472671-1539-440d-8bbb-335c06fed41d,undefined,"SSR",81,4961,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
31eb81e7-53fb-404d-a2e1-5e7ea79dd915,undefined,"SSR",85,4075,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
caad6c9c-fa50-4c19-b547-3501e21f9383,undefined,"SSR",76,11042,null,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0","",
